Sample Name,dt,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29
90,0.09975666666666667,85,85,85,85,85,85,85,85,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
95,0.10280663333333333,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,73,90,90,90,90,90,90,90,90
100,0.10327446666666668,94,95,94,95,95,96,95,95,96,95,96,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
105,0.10503956666666667,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
110,0.10587280000000002,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,104,105,106,105,105,104,105,105,105,105,105,105,105
115,0.11171829999999999,109,110,110,110,110,110,110,88,110,88,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,89,110,110
120,0.11958846666666667,92,114,92,114,115,114,114,114,114,93,114,114,114,115,115,115,114,115,115,115,114,115,115,115,115,115,115,115,115,114
125,0.1209141,120,120,120,97,121,97,120,120,120,120,120,120,96,120,120,120,120,120,120,120,120,120,97,120,120,120,120,120,120,97
130,0.11325143333333333,124,124,124,125,125,124,125,125,125,125,125,125,125,125,125,125,125,125,125,125,124,125,124,124,125,124,125,124,124,124
135,0.11016326666666666,78,105,130,129,104,129,129,129,129,129,104,129,129,129,104,128,129,128,128,129,80,104,104,80,104,103,128,128,129,104
140,0.1144698,132,132,132,106,134,133,134,133,133,133,133,133,133,133,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
145,0.11539293333333335,108,137,138,139,139,138,139,139,139,139,139,139,139,139,139,139,111,139,84,139,139,139,111,139,139,139,139,139,139,139
150,0.11779160000000001,139,140,140,142,143,142,143,144,143,143,143,144,143,144,144,144,143,144,143,143,144,143,143,143,143,144,143,144,143,143
155,0.1257700333333333,143,144,145,147,147,119,148,149,149,149,148,148,120,148,149,148,148,148,148,149,148,149,149,148,149,148,149,149,149,148
160,0.12467020000000001,151,152,153,154,153,153,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,150,153
165,0.12008233333333333,157,158,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,127,159
170,0.13272033333333333,159,159,159,159,160,160,161,162,163,164,132,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
175,0.12343069999999999,164,165,165,166,167,167,168,168,168,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
180,0.12439813333333331,174,174,174,174,174,174,174,174,174,174,174,174,173,173,174,174,174,174,174,174,174,174,173,173,174,173,173,173,174,174
185,0.1260372,179,179,179,178,179,179,178,179,178,179,179,179,179,179,179,179,179,179,179,179,178,179,179,179,179,179,179,178,179,179
190,0.1270317,184,184,184,184,184,184,184,184,183,183,184,184,184,184,184,184,184,184,184,183,184,184,184,184,184,184,184,184,184,184
195,0.13065566666666667,184,184,183,184,183,184,185,186,187,188,189,189,188,189,189,188,189,189,189,189,188,189,189,189,189,189,189,189,188,189
200,0.1295477666666667,193,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194
205,0.1409355,198,199,198,199,140,200,200,200,200,199,199,199,200,199,199,200,200,199,199,200,200,200,200,199,199,199,199,199,199,199
